"","ID","X","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","friend_name","ParticipantID","Sex"
"11","phase_016_subj_20",24832,6,1,5,2,5,5,1,4,5,5,4,3,2,2,-2,-3,2,2,3,5,4,5,5,4,2,2,2,5,4,4,5,4,3,3,4,3,4,5,7,3,5,2,2,2,6,1,6,3,2,2,7,3,1,2,5,2,5,3,2,1,3,2,2,2,3,7,3,7,3,3,2,3,3,3,2,2,3,5,"李",151,"Male"
"12","phase_016_subj_68",27708,6,6,6,6,6,4,4,4,5,5,4,2,2,2,2,1,1,2,2,4,4,5,5,4,2,2,2,4,4,3,3,2,4,3,4,4,4,4,2,7,2,6,5,6,3,2,5,6,6,7,6,6,6,6,5,7,6,6,3,2,3,6,6,6,6,6,7,6,7,3,6,6,2,6,2,6,6,6,"陈",592,"Male"
"13","phase_016_subj_11",29675,6,5,6,7,6,4,4,5,5,5,4,2,3,2,1,2,3,2,2,4,5,5,5,4,5,4,4,5,4,7,6,6,7,8,7,7,6,8,5,7,2,7,5,4,5,2,7,6,5,4,5,6,3,6,5,4,6,6,5,1,3,2,5,6,5,3,7,5,7,2,3,3,3,6,3,1,5,3,"于",110,"Male"
"14","phase_016_subj_42",31965,5,5,6,5,6,5,4,5,5,2,5,1,2,1,2,1,1,2,2,5,4,5,4,3,3,4,5,4,4,4,7,6,8,6,9,7,4,6,5,7,6,5,5,4,6,7,5,5,5,2,5,1,5,5,6,6,5,5,4,5,3,6,3,7,5,6,6,5,7,6,6,5,6,6,5,7,5,6,"任",336,"Female"
"15","phase_016_subj_48",34605,6,2,6,3,3,5,2,5,5,5,5,2,3,-1,-2,-3,2,3,3,5,4,5,5,4,2,4,3,5,4,4,5,4,6,3,4,3,4,5,5,5,6,3,6,3,7,1,6,6,6,2,7,3,2,3,5,2,5,3,3,2,2,1,2,3,2,3,3,5,3,2,2,1,3,3,2,5,3,3,"王",386,"Male"
"16","phase_016_subj_29",37016,5,6,6,5,4,5,4,4,4,3,4,1,-2,2,3,1,2,1,2,5,3,5,4,4,4,3,3,5,4,3,5,7,7,1,5,5,3,6,5,1,5,3,6,5,4,7,5,3,6,4,2,4,6,5,5,3,6,2,6,5,4,5,5,7,7,5,6,6,7,4,6,6,4,5,6,6,5,5,"莫",219,"Male"
"17","phase_016_subj_16",39780,5,4,4,3,4,4,3,3,4,4,4,1,2,-1,2,-1,1,3,2,4,4,4,4,4,5,4,4,3,4,6,7,6,7,4,5,7,6,7,4,3,5,5,5,2,4,1,4,5,3,3,6,6,4,3,4,4,4,5,2,3,3,3,3,7,5,4,6,5,7,5,6,6,3,6,6,2,3,6,"曾",140,"Female"
"18","phase_016_subj_43",41892,5,6,5,5,4,5,2,4,4,4,5,2,1,2,2,-2,1,2,1,4,5,4,5,4,3,5,3,4,4,7,8,7,5,5,3,7,6,6,5,4,5,6,5,2,4,3,6,4,3,3,4,3,6,6,3,3,6,2,3,6,4,6,3,6,5,5,4,6,6,6,5,5,4,6,5,5,4,6,"郭",345,"Male"
"19","phase_016_subj_45",44665,4,4,4,3,3,4,3,4,4,4,4,1,-1,1,2,1,1,1,2,4,4,4,4,4,4,3,3,4,3,4,3,4,4,3,4,4,4,4,4,5,5,5,5,5,4,4,5,5,3,5,5,5,3,5,5,5,4,5,3,5,3,4,3,5,3,6,5,6,5,3,5,5,3,5,5,5,3,4,"曾",348,"Male"
"20","phase_016_subj_35",47101,4,3,4,3,2,3,1,2,4,3,5,-1,2,-1,1,-2,-1,1,1,5,5,5,5,5,4,5,3,3,3,6,7,4,8,6,4,6,8,8,5,5,2,6,5,5,4,7,4,3,4,3,5,2,4,6,3,4,2,5,3,4,5,4,4,5,6,5,6,6,5,1,7,1,5,5,5,5,3,6,"翟",280,"Female"
"21","phase_016_subj_69",49502,3,5,4,2,1,3,2,4,4,4,4,1,-1,-1,1,-1,1,2,1,4,5,4,4,4,4,3,4,5,4,6,7,7,7,5,4,6,5,6,6,3,2,6,4,3,4,1,5,2,5,4,6,4,4,6,3,3,3,5,3,5,4,3,2,5,5,5,6,6,5,5,7,3,3,6,3,7,5,6,"李",600,"Female"
"22","phase_016_subj_13",51990,4,5,4,3,2,4,3,4,4,4,4,1,-1,1,1,-1,1,2,1,5,5,5,5,4,4,4,3,4,4,7,6,4,7,6,7,7,7,8,5,5,3,6,6,3,4,6,5,5,3,3,5,2,3,5,5,6,5,6,3,3,3,3,3,6,6,7,7,7,7,3,6,6,3,5,6,7,2,6,"单",120,"Male"
"23","phase_016_subj_82",55505,5,6,6,6,5,4,4,4,4,4,4,2,2,1,2,-1,2,2,1,5,4,5,5,4,3,4,3,4,3,5,6,5,7,4,5,8,7,7,5,5,3,6,5,5,5,2,5,6,5,3,5,5,5,4,5,6,5,6,3,5,3,1,3,6,3,5,5,5,5,5,3,5,5,5,3,5,5,5,"李",681,"Male"
"24","phase_016_subj_49",57480,5,5,6,3,2,4,4,5,4,5,5,2,-2,-1,2,-2,2,2,3,4,5,4,4,4,5,4,4,5,4,6,6,7,7,7,8,8,9,7,6,5,6,5,7,5,6,5,6,2,6,3,6,1,3,6,2,3,6,2,2,2,3,2,2,6,2,7,6,6,6,6,6,6,2,7,2,2,2,6,"唐",390,"Female"
"25","phase_016_subj_58",59245,2,2,2,4,6,5,2,3,5,5,5,2,1,1,2,-1,1,3,3,5,4,5,5,4,4,5,5,5,5,6,8,4,4,3,2,4,7,4,3,3,2,3,3,3,2,2,2,1,2,1,7,4,2,6,3,2,2,2,2,3,5,1,1,6,3,3,3,6,6,6,7,1,2,4,1,3,2,3,"瞿",451,"Female"
"26","phase_016_subj_33",62154,5,6,5,6,6,4,4,4,4,5,4,2,3,1,2,2,3,2,1,4,5,5,2,4,4,5,4,5,4,6,5,7,6,7,5,6,5,7,5,6,6,5,6,4,5,3,6,6,4,3,5,2,5,5,5,5,5,6,4,5,6,6,5,6,5,6,6,6,5,5,5,7,6,5,6,6,5,5,"李",274,"Female"
"27","phase_016_subj_38",64758,5,6,6,5,6,4,4,5,5,4,5,2,1,3,2,1,3,2,3,5,4,5,5,3,2,4,2,5,4,7,8,6,7,8,8,7,7,8,5,7,6,6,6,7,7,2,7,7,6,6,1,3,3,6,5,7,7,6,6,6,6,7,6,7,6,7,6,7,7,7,6,6,3,6,6,7,6,7,"蔡",307,"Male"
"28","phase_016_subj_10",67165,5,5,5,5,4,5,3,5,5,5,5,2,2,1,2,1,1,1,1,5,4,5,5,4,3,4,4,4,4,6,6,5,6,4,5,6,5,6,5,5,3,5,5,3,5,2,5,5,3,3,5,3,3,5,3,4,5,4,3,3,3,3,3,5,3,6,5,5,5,5,4,3,3,5,5,5,3,4,"李",99,"Female"
"29","phase_016_subj_8",69551,2,1,2,1,1,4,1,5,4,5,5,2,1,2,3,-2,-2,-3,1,5,5,5,5,5,3,4,3,4,4,5,5,5,9,9,5,9,9,9,7,4,6,1,6,1,7,2,4,7,7,1,7,1,5,2,7,4,7,3,2,7,6,4,1,7,2,7,7,7,7,7,7,7,1,7,2,7,1,7,"宋",63,"Female"
"30","phase_016_subj_9",72386,5,3,5,3,2,4,4,3,4,4,4,2,-2,-1,2,-1,1,1,1,5,4,5,5,4,3,4,3,4,4,4,5,4,6,4,5,4,4,4,5,2,3,5,2,3,2,1,5,2,2,3,5,5,2,5,3,4,2,5,3,3,6,2,6,5,6,6,7,7,7,7,7,7,1,7,7,7,2,5,"徐",77,"Female"
"31","phase_016_subj_56",74796,4,4,5,3,2,4,2,3,4,3,5,2,2,1,2,-2,1,2,2,5,4,4,4,4,3,3,2,3,3,4,5,3,6,3,6,4,7,4,5,2,4,4,4,6,3,1,5,2,5,2,4,3,5,2,5,2,4,4,2,4,2,3,2,4,3,4,2,4,6,3,3,2,3,2,2,6,3,5,"王",444,"Male"
"32","phase_016_subj_44",77236,2,3,3,3,2,2,1,2,4,4,5,3,-2,-2,3,-1,-2,3,3,4,5,5,5,4,3,4,4,4,5,5,6,4,8,9,9,5,4,8,7,2,2,3,5,1,5,6,3,2,5,1,5,2,2,1,3,5,2,2,2,7,1,1,1,6,1,6,2,4,4,1,7,3,3,3,1,7,3,2,"周",347,"Female"
"33","phase_016_subj_81",79902,4,3,3,3,3,4,2,4,5,5,1,1,2,-1,-2,-1,1,1,2,5,5,5,4,4,3,4,2,2,3,5,7,5,5,4,3,4,4,7,6,3,6,1,5,2,7,3,7,3,2,2,5,3,3,5,2,3,7,2,3,6,3,2,2,3,3,6,5,6,6,3,6,3,4,5,7,7,3,3,"彭",672,"Female"
"34","phase_016_subj_36",82416,5,5,5,4,4,4,4,4,4,4,4,2,1,1,2,1,1,2,2,4,4,5,4,4,4,5,4,5,4,5,6,5,6,5,5,5,5,6,3,6,4,6,5,4,5,1,5,5,3,4,5,4,3,5,4,7,3,5,3,5,3,3,3,6,2,6,3,7,7,1,6,1,3,3,3,2,3,3,"王",304,"Female"
"35","phase_016_subj_34",84910,4,4,5,6,2,3,3,4,3,3,4,1,-1,1,1,-1,1,1,1,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,4,5,4,4,4,3,1,7,4,4,3,7,6,4,3,4,3,3,3,3,3,5,3,4,3,3,4,4,4,5,3,4,3,4,"杜",276,"Female"
"36","phase_016_subj_54",87209,4,3,3,3,2,2,2,2,3,2,3,1,2,-1,1,-1,-1,1,1,4,3,4,3,3,4,2,3,3,3,4,5,4,4,3,4,4,3,3,4,3,5,3,3,3,4,4,3,3,3,3,3,5,2,3,3,4,4,3,3,4,3,3,3,3,6,4,7,6,6,6,5,5,4,5,6,4,2,2,"赵",419,"Female"
"37","phase_016_subj_66",90001,6,6,6,5,6,4,2,4,3,3,4,2,2,1,2,1,2,2,2,4,4,2,3,4,4,4,4,4,5,7,7,8,7,8,8,6,7,7,5,3,5,3,6,2,6,3,5,2,5,2,6,3,5,3,6,2,6,2,3,5,2,6,2,6,3,5,2,6,5,4,5,4,4,5,3,6,2,6,"李",574,"Male"
"38","phase_016_subj_75",92146,3,2,2,3,4,2,4,2,2,2,4,1,1,1,1,-1,1,2,2,4,4,4,4,3,3,3,4,3,3,4,5,4,4,4,3,4,4,4,5,4,4,3,4,3,4,4,4,3,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"陈",654,"Male"
"39","phase_016_subj_46",94752,5,6,5,4,6,4,3,5,4,4,5,3,2,2,3,1,1,2,2,5,4,4,4,4,4,4,3,3,4,3,4,4,5,4,4,5,6,7,5,4,4,5,2,6,3,4,6,5,5,3,5,3,2,7,5,4,4,3,4,3,5,6,3,7,5,5,5,6,7,6,7,7,2,6,7,7,4,5,"刘",430,"Female"
"40","phase_016_subj_53",97110,4,3,3,3,3,4,3,4,4,4,5,1,-1,-1,1,-2,-1,1,1,5,4,5,2,3,2,3,3,3,3,4,5,4,4,2,3,6,5,6,5,3,3,3,2,1,3,3,2,2,3,2,4,3,3,5,3,4,3,2,2,5,4,5,4,6,6,3,6,7,3,5,7,3,6,3,7,7,3,6,"李",412,"Female"
"41","phase_016_subj_4",99507,5,3,5,3,2,2,2,4,4,4,5,1,1,2,2,-1,2,2,1,5,3,5,4,4,2,3,4,3,3,4,5,4,5,4,4,5,3,3,5,4,7,3,6,2,5,2,3,3,3,3,1,3,5,2,5,7,7,2,1,3,2,4,3,3,2,3,3,7,3,2,7,2,2,5,1,7,2,7,"刘",27,"Male"
"42","phase_016_subj_59",101920,3,2,4,3,2,4,2,3,4,4,4,2,2,1,2,-1,2,2,1,4,5,5,5,4,4,5,4,4,5,4,6,6,5,4,5,5,5,6,5,5,5,3,4,2,6,1,5,3,5,3,6,2,3,3,5,6,5,3,3,3,2,3,3,5,5,5,6,5,7,5,3,3,3,5,5,5,3,6,"温",463,"Female"
"43","phase_016_subj_55",104283,6,6,6,3,5,4,2,5,4,4,5,3,1,2,2,1,1,2,2,5,5,5,4,3,3,3,4,4,3,4,6,5,6,4,6,6,7,7,6,4,4,4,3,4,3,3,4,4,6,2,5,4,4,6,5,4,4,3,4,3,6,6,4,7,6,5,6,6,7,6,6,7,4,7,7,7,3,7,"陈",368,"Female"
"44","phase_016_subj_1",106759,2,3,3,2,1,5,3,5,5,5,5,3,-2,-1,-2,-2,-2,-2,-1,5,5,5,5,5,3,3,3,3,3,2,2,2,5,1,2,3,3,9,7,1,3,5,7,1,3,2,2,3,6,2,6,4,2,6,4,4,5,2,1,6,2,4,2,3,2,7,6,4,5,3,7,1,1,7,1,7,1,3,"熊",6,"Male"
"45","phase_016_subj_51",109269,5,3,5,4,2,4,4,4,4,4,5,1,-1,2,-1,-2,2,1,2,4,3,5,2,2,4,4,3,4,4,4,7,6,7,4,5,5,7,6,6,5,5,5,6,1,5,2,5,2,3,2,3,3,3,2,3,2,7,5,2,3,2,1,2,3,7,7,6,7,7,2,7,1,1,7,1,7,3,2,"张",403,"Female"
"46","phase_016_subj_73",111915,3,2,3,1,2,4,2,2,2,2,5,1,2,-1,3,-1,1,2,2,5,2,5,3,3,4,4,3,4,4,4,3,7,7,5,6,4,5,6,4,3,6,3,2,3,3,3,3,2,2,2,5,6,3,5,2,3,6,3,2,2,4,3,3,6,3,6,7,6,7,7,3,3,2,7,3,7,5,3,"陈",647,"Female"
"47","phase_016_subj_71",114168,5,6,5,4,5,5,3,4,5,5,5,2,-1,2,1,1,1,3,3,5,4,5,5,4,4,4,4,4,5,4,5,5,4,4,4,4,5,5,4,7,2,4,5,3,5,7,5,5,5,3,5,3,5,3,5,5,3,4,3,3,3,4,3,4,3,4,4,5,3,4,5,2,4,4,5,6,4,3,"吕",631,"Female"
"48","phase_016_subj_30",116562,5,5,5,4,3,4,3,3,4,4,4,2,2,1,2,1,2,1,1,4,4,5,5,4,3,3,3,3,4,6,5,6,7,7,7,6,7,7,5,4,3,4,5,3,4,5,5,3,5,2,5,3,5,4,5,2,5,4,2,3,2,1,3,4,3,4,3,4,3,3,4,3,2,3,2,4,3,3,"黄",220,"Male"
"49","phase_016_subj_40",118993,6,5,6,3,4,2,4,3,2,2,4,1,3,2,1,3,2,2,3,5,5,5,2,5,3,4,2,3,4,4,8,6,6,3,7,6,8,8,5,5,6,5,5,2,7,3,6,4,5,2,6,4,6,5,5,5,6,4,3,2,3,1,2,7,3,5,3,6,5,4,5,3,2,4,7,7,4,4,"董",328,"Male"
"50","phase_016_subj_60",121602,4,2,3,3,2,3,2,2,4,4,4,1,-1,-1,1,-2,1,1,1,4,3,5,4,3,3,4,4,3,3,4,6,6,7,2,6,4,4,6,3,2,2,3,5,4,3,5,4,3,3,3,5,4,3,3,4,3,3,5,3,3,3,2,3,4,3,6,3,5,2,3,3,3,3,3,3,5,2,3,"胡",509,"Female"
"51","phase_016_subj_62",123925,4,5,5,4,5,5,2,3,4,4,4,1,1,1,1,-1,-1,1,1,4,4,4,2,4,4,3,4,4,3,4,4,4,5,3,4,4,3,4,3,4,4,5,4,3,4,4,3,4,4,3,4,4,3,5,4,4,3,4,4,3,5,4,4,4,5,4,3,4,4,5,4,4,5,4,4,5,4,4,"刘",534,"Male"
"52","phase_016_subj_17",126628,5,4,4,3,4,4,2,3,4,4,4,2,-1,-2,-2,-2,2,3,2,4,4,5,4,4,4,5,5,5,5,5,5,4,5,4,4,6,5,5,5,1,5,3,5,4,5,4,4,3,3,4,5,3,5,4,5,3,4,4,4,4,4,5,3,5,5,5,5,5,5,5,6,3,3,4,3,4,3,5,"蔡",140,"Female"
"53","phase_016_subj_25",129138,4,4,3,3,1,4,3,2,5,4,5,1,1,1,2,-1,1,2,2,5,4,3,2,4,3,2,2,2,2,3,6,6,7,5,2,4,5,5,5,2,4,3,5,2,5,4,3,2,7,1,5,3,4,5,3,6,3,4,3,4,4,2,4,4,3,5,4,5,5,3,4,2,4,3,3,5,3,5,"江",173,"Male"
"54","phase_016_subj_32",131725,7,6,6,5,4,4,4,5,5,4,4,2,1,2,2,1,2,3,2,5,4,5,4,5,3,4,3,4,4,6,8,8,8,6,7,8,9,9,5,6,4,6,6,5,4,3,6,6,5,4,5,6,6,6,6,6,4,5,4,2,5,4,5,6,6,5,6,6,3,3,2,2,2,5,4,5,4,5,"黄",263,"Male"
"55","phase_016_subj_84",NA,6,5,5,6,4,4,3,4,4,5,4,3,2,1,1,1,1,2,2,4,4,5,5,4,3,4,4,4,4,4,7,7,6,5,7,5,6,7,5,5,4,5,5,2,6,4,5,5,6,2,5,3,5,5,5,3,3,4,3,4,4,6,4,6,5,6,6,6,6,6,3,5,3,6,3,4,3,6,"陈",1,"Female"
"56","phase_016_subj_85",NA,3,4,4,3,3,4,3,3,3,4,4,1,1,-1,1,1,1,1,3,3,2,5,3,3,3,4,4,4,4,6,6,5,4,4,4,4,5,5,4,5,3,3,5,2,5,3,5,3,5,3,3,5,3,4,3,5,5,5,3,4,3,3,2,3,3,4,3,5,5,5,5,4,4,4,3,5,3,5,"左",1,"Male"
"57","phase_016_subj_86",NA,6,6,6,6,6,3,2,3,3,3,4,2,1,1,-1,-1,1,1,1,4,4,4,4,4,3,4,4,4,4,6,6,6,7,6,7,7,7,7,5,4,5,5,5,3,5,4,4,4,6,2,5,3,5,4,5,3,5,3,3,4,4,5,3,5,3,5,4,4,6,5,5,4,4,5,4,5,4,4,"李",3,"Female"
