"","ParticipantID","Sex","task_id","screen_id","person","valence","domain","word","math","correct_response","identity","response","responses","rt","correct","con","ID"
"1",221,"Female","SRET_EW","EW_instructions","","","","","","","","0","","8135","","__","phase_015_subj_46"
"2",221,"Female","SRET_EW","EW_practice","friend","Negative","morality","徇私","","","","null","","null","","friend_Negative_morality","phase_015_subj_46"
"3",221,"Female","SRET_EW","EW_practice","self","Negative","ability","刻板","","","","f","no","858","","self_Negative_ability","phase_015_subj_46"
"4",221,"Female","SRET_EW","EW_practice","friend","Positive","morality","忠实","","","","j","yes","850","","friend_Positive_morality","phase_015_subj_46"
"5",221,"Female","SRET_EW","EW_practice","self","Positive","ability","严谨","","","","j","yes","771","","self_Positive_ability","phase_015_subj_46"
"6",221,"Female","SRET_EW","prac_instructions","","","","","","","","0","","4963","","__","phase_015_subj_46"
"7",221,"Female","SRET","EW_formal","friend","Positive","ability","务实","","","","j","yes","580","","friend_Positive_ability","phase_015_subj_46"
"8",221,"Female","SRET","EW_formal","friend","Negative","ability","迷糊","","","","f","no","690","","friend_Negative_ability","phase_015_subj_46"
"9",221,"Female","SRET","EW_formal","self","Positive","morality","坚贞","","","","j","yes","548","","self_Positive_morality","phase_015_subj_46"
"10",221,"Female","SRET","EW_formal","self","Negative","morality","说谎","","","","j","yes","569","","self_Negative_morality","phase_015_subj_46"
"11",221,"Female","SRET","EW_formal","self","Positive","ability","上进","","","","f","no","635","","self_Positive_ability","phase_015_subj_46"
"12",221,"Female","SRET","EW_formal","self","Positive","ability","细心","","","","j","yes","530","","self_Positive_ability","phase_015_subj_46"
"13",221,"Female","SRET","EW_formal","friend","Positive","morality","谦逊","","","","f","no","619","","friend_Positive_morality","phase_015_subj_46"
"14",221,"Female","SRET","EW_formal","friend","Negative","ability","怠惰","","","","j","yes","679","","friend_Negative_ability","phase_015_subj_46"
"15",221,"Female","SRET","EW_formal","friend","Negative","morality","伪善","","","","f","no","728","","friend_Negative_morality","phase_015_subj_46"
"16",221,"Female","SRET","EW_formal","friend","Positive","ability","全才","","","","f","no","706","","friend_Positive_ability","phase_015_subj_46"
"17",221,"Female","SRET","EW_formal","friend","Negative","ability","外行","","","","f","no","654","","friend_Negative_ability","phase_015_subj_46"
"18",221,"Female","SRET","EW_formal","self","Positive","morality","勤恳","","","","j","yes","674","","self_Positive_morality","phase_015_subj_46"
"19",221,"Female","SRET","EW_formal","friend","Positive","ability","变通","","","","j","yes","561","","friend_Positive_ability","phase_015_subj_46"
"20",221,"Female","SRET","EW_formal","friend","Negative","ability","拖延","","","","f","no","460","","friend_Negative_ability","phase_015_subj_46"
"21",221,"Female","SRET","EW_formal","friend","Positive","ability","无敌","","","","j","yes","395","","friend_Positive_ability","phase_015_subj_46"
"22",221,"Female","SRET","EW_formal","self","Positive","ability","刻苦","","","","j","yes","401","","self_Positive_ability","phase_015_subj_46"
"23",221,"Female","SRET","EW_formal","friend","Negative","morality","邪恶","","","","f","no","546","","friend_Negative_morality","phase_015_subj_46"
"24",221,"Female","SRET","EW_formal","self","Positive","ability","利落","","","","j","yes","764","","self_Positive_ability","phase_015_subj_46"
"25",221,"Female","SRET","EW_formal","self","Positive","ability","毅力","","","","j","yes","612","","self_Positive_ability","phase_015_subj_46"
"26",221,"Female","SRET","EW_formal","friend","Positive","ability","智慧","","","","j","yes","492","","friend_Positive_ability","phase_015_subj_46"
"27",221,"Female","SRET","EW_formal","self","Positive","ability","坚持","","","","j","yes","445","","self_Positive_ability","phase_015_subj_46"
"28",221,"Female","SRET","EW_formal","self","Positive","morality","好心","","","","f","no","381","","self_Positive_morality","phase_015_subj_46"
"29",221,"Female","SRET","EW_formal","friend","Positive","ability","独立","","","","j","yes","634","","friend_Positive_ability","phase_015_subj_46"
