"","ID","Sex","task_id","screen_id","person","valence","domain","word","math","correct_response","identity","response","responses","rt","correct","con"
"1","phase_016_subj_6","Female","SRET_EW","EW_instructions","","","","","","","","0","","24249","","__"
"2","phase_016_subj_6","Female","SRET_EW","EW_practice","self","Negative","ability","刻板","","","","null","","null","","self_Negative_ability"
"3","phase_016_subj_6","Female","SRET_EW","EW_practice","friend","Positive","morality","忠实","","","","j","yes","881","","friend_Positive_morality"
"4","phase_016_subj_6","Female","SRET_EW","EW_practice","self","Positive","ability","严谨","","","","j","yes","1207","","self_Positive_ability"
"5","phase_016_subj_6","Female","SRET_EW","EW_practice","friend","Negative","morality","徇私","","","","f","no","899","","friend_Negative_morality"
"6","phase_016_subj_6","Female","SRET_EW","prac_instructions","","","","","","","","0","","20564","","__"
"7","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","务实","","","","j","yes","709","","friend_Positive_ability"
"8","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","ability","迷糊","","","","j","yes","758","","friend_Negative_ability"
"9","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","说谎","","","","f","no","837","","self_Negative_morality"
"10","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","morality","坚贞","","","","j","yes","884","","self_Positive_morality"
"11","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","聪明","","","","j","yes","542","","self_Positive_ability"
"12","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","诡诈","","","","f","no","561","","self_Negative_morality"
"13","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","善心","","","","j","yes","617","","friend_Positive_morality"
"14","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","ability","昏庸","","","","f","no","805","","friend_Negative_ability"
"15","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","ability","短视","","","","f","no","650","","friend_Negative_ability"
"16","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","ability","短浅","","","","f","no","958","","self_Negative_ability"
"17","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","全才","","","","j","yes","844","","friend_Positive_ability"
"18","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","仁爱","","","","j","yes","732","","friend_Positive_morality"
"19","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","奉献","","","","j","yes","688","","friend_Positive_morality"
"20","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","ability","拖拉","","","","j","yes","886","","friend_Negative_ability"
"21","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","背叛","","","","f","no","770","","self_Negative_morality"
"22","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","肯干","","","","j","yes","719","","self_Positive_ability"
"23","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","ability","无知","","","","f","no","759","","self_Negative_ability"
"24","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","奸险","","","","f","no","733","","self_Negative_morality"
"25","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","失信","","","","f","no","1099","","self_Negative_morality"
"26","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","不良","","","","f","no","760","","self_Negative_morality"
"27","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","不孝","","","","f","no","694","","self_Negative_morality"
"28","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","morality","善良","","","","j","yes","737","","self_Positive_morality"
"29","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","morality","利己","","","","f","no","695","","friend_Negative_morality"
"30","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","ability","废物","","","","f","no","841","","friend_Negative_ability"
"31","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","毅力","","","","j","yes","1198","","self_Positive_ability"
"32","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","morality","勤恳","","","","j","yes","1661","","self_Positive_morality"
"33","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","思辨","","","","j","yes","794","","self_Positive_ability"
"34","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","热心","","","","j","yes","864","","friend_Positive_morality"
"35","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","ability","驽钝","","","","f","no","923","","self_Negative_ability"
"36","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","ability","屈才","","","","f","no","835","","self_Negative_ability"
"37","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","能干","","","","j","yes","579","","self_Positive_ability"
"38","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","忠勇","","","","j","yes","540","","friend_Positive_morality"
"39","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","ability","愚蠢","","","","f","no","727","","friend_Negative_ability"
"40","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","果决","","","","j","yes","661","","friend_Positive_ability"
"41","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","娴熟","","","","j","yes","760","","friend_Positive_ability"
"42","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","morality","仁厚","","","","j","yes","1040","","self_Positive_morality"
"43","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","morality","奸诈","","","","f","no","807","","friend_Negative_morality"
"44","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","morality","势利","","","","f","no","903","","friend_Negative_morality"
"45","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","周到","","","","j","yes","663","","friend_Positive_ability"
"46","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","ability","利落","","","","j","yes","961","","friend_Positive_ability"
"47","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","morality","礼貌","","","","j","yes","836","","self_Positive_morality"
"48","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","morality","腐败","","","","f","no","1139","","friend_Negative_morality"
"49","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","ability","无助","","","","f","no","804","","friend_Negative_ability"
"50","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","morality","守法","","","","j","yes","896","","self_Positive_morality"
"51","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","稳健","","","","j","yes","884","","self_Positive_ability"
"52","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","ability","迟钝","","","","j","yes","1155","","self_Negative_ability"
"53","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","ability","草率","","","","f","no","1401","","friend_Negative_ability"
"54","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","无耻","","","","f","no","814","","self_Negative_morality"
"55","phase_016_subj_6","Female","SRET","EW_formal","friend","Positive","morality","忠义","","","","j","yes","767","","friend_Positive_morality"
"56","phase_016_subj_6","Female","SRET","EW_formal","self","Positive","ability","细心","","","","j","yes","991","","self_Positive_ability"
"57","phase_016_subj_6","Female","SRET","EW_formal","self","Negative","morality","伪善","","","","f","no","821","","self_Negative_morality"
"58","phase_016_subj_6","Female","SRET","EW_formal","friend","Negative","morality","卑鄙","","","","f","no","943","","friend_Negative_morality"
