Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q2_item4,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件？,4、您的手机是否也保持熄屏状态，或者不在视线范围内？,5、您是否平放电脑，并且保持身体挺直？,节点id,节点名称,1、您是否参加过类似的测试？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,3、距离您上次参加此类测试的时间间隔为：,4、您在进行测试的过程中，测试是否正常进行？,5、您在按键行为实验的全程是否全屏？,6、请您描述一下具体出现的问题，以及发生问题的实验阶段？,7、您在进行测试的过程中，是否受到干扰？,8、请您描述一下具体受到什么干扰，以及干扰发生的时间点,9、对此实验的建议和意见,10、您认为该实验的目的是什么？,
1,	735455183198490626,	803646584083587074,	用户31026,	2024-01-27 16:23:01,58分25秒,WEB,直接访问,183.251.201.109,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,-888,图形匹配 (图形一文字标签),类似的问卷调查,-888,E.半年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,研究人的反应力和判断力	,
2,	803250783939338242,	803646935511863297,	用户44389,	2024-01-27 16:26:55,1小时54秒,WEB,直接访问,220.249.162.114,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,可能是测试人的注意力分配或者是工作记忆	,
3,	673239924056522752,	803647088247316481,	谙雎,	2024-01-27 16:27:46,1小时1分10秒,WEB,直接访问,223.78.156.85,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,-888,-888,类似的问卷调查,-888,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,测试我的反应力	,
4,	763092748139237377,	803648875616538625,	周慧,	2024-01-27 17:01:12,1小时27分30秒,WEB,直接访问,175.2.31.59,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,没有	,测试参与者的记忆力和反应力。	,
5,	798267707752587265,	803648906817839105,	就叫阿晓,	2024-01-27 16:38:11,1小时4分21秒,WEB,直接访问,27.226.22.30,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,-999,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,测试大脑在混沌状态下的反应能力	,
6,	802899041120821250,	803649197105745921,	用户44330,	2024-01-27 16:25:23,50分24秒,WEB,直接访问,114.243.143.89,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,词汇分类 (自我一他人；积极一消极),-888,类似的问卷调查,-888,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,测试反应能力和人在熟练以后的反应能力；对于自己和他人的评价好坏的选择；先入为主的改观	,
7,	672909992034041856,	803650587458801665,	郭咯,	2024-01-27 16:42:57,1小时2分26秒,WEB,直接访问,222.219.128.253,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,观察人的反应能力	,
8,	598901822953881600,	803650852169588738,	wuyu,	2024-01-27 16:50:00,1小时8分26秒,WEB,直接访问,36.134.81.67,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,否,-888,-888,-888,从无,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,测试人的判断力	,
9,	672081135265644544,	803652188772765697,	刘道衡,	2024-01-27 16:43:47,56分55秒,WEB,直接访问,110.180.53.119,	803643024289701890,测试环境,是,是,是,是,是,	803643024637829123,问题反馈,是,-888,-888,类似的问卷调查,-888,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,研究现代人的自信程度。	,
