"X","ParticipantID","Sex","task_id","screen_id","person","valence","domain","word","math","correct_response","identity","response","responses","rt","correct","con","ID"
3173,312,"Female","SRET_EW","EW_instructions","","","","","",NA,"","0","","11856",NA,"__","phase_006_subj_7"
3174,312,"Female","SRET_EW","EW_practice","self","Negative","ability","刻板","",NA,"","null","","null",NA,"self_Negative_ability","phase_006_subj_7"
3175,312,"Female","SRET_EW","EW_practice","friend","Positive","morality","忠实","",NA,"","f","yes","1345",NA,"friend_Positive_morality","phase_006_subj_7"
3176,312,"Female","SRET_EW","EW_practice","friend","Negative","morality","徇私","",NA,"","j","no","1371",NA,"friend_Negative_morality","phase_006_subj_7"
3177,312,"Female","SRET_EW","EW_practice","self","Positive","ability","严谨","",NA,"","f","yes","915",NA,"self_Positive_ability","phase_006_subj_7"
3178,312,"Female","SRET_EW","prac_instructions","","","","","",NA,"","0","","13924",NA,"__","phase_006_subj_7"
3179,312,"Female","SRET","EW_formal","self","Negative","morality","说谎","",NA,"","j","no","1131",NA,"self_Negative_morality","phase_006_subj_7"
3180,312,"Female","SRET","EW_formal","friend","Positive","ability","务实","",NA,"","f","yes","1165",NA,"friend_Positive_ability","phase_006_subj_7"
3181,312,"Female","SRET","EW_formal","friend","Negative","ability","迷糊","",NA,"","j","no","985",NA,"friend_Negative_ability","phase_006_subj_7"
3182,312,"Female","SRET","EW_formal","self","Positive","morality","坚贞","",NA,"","f","yes","1008",NA,"self_Positive_morality","phase_006_subj_7"
3183,312,"Female","SRET","EW_formal","self","Positive","ability","坚持","",NA,"","f","yes","763",NA,"self_Positive_ability","phase_006_subj_7"
3184,312,"Female","SRET","EW_formal","self","Negative","morality","罪恶","",NA,"","j","no","797",NA,"self_Negative_morality","phase_006_subj_7"
3185,312,"Female","SRET","EW_formal","self","Negative","ability","外行","",NA,"","f","yes","1651",NA,"self_Negative_ability","phase_006_subj_7"
3186,312,"Female","SRET","EW_formal","self","Positive","morality","君子","",NA,"","f","yes","986",NA,"self_Positive_morality","phase_006_subj_7"
3187,312,"Female","SRET","EW_formal","self","Negative","ability","迟钝","",NA,"","j","no","749",NA,"self_Negative_ability","phase_006_subj_7"
3188,312,"Female","SRET","EW_formal","self","Positive","morality","厚道","",NA,"","f","yes","684",NA,"self_Positive_morality","phase_006_subj_7"
3189,312,"Female","SRET","EW_formal","friend","Negative","ability","拖延","",NA,"","f","yes","1073",NA,"friend_Negative_ability","phase_006_subj_7"
3190,312,"Female","SRET","EW_formal","friend","Positive","morality","礼貌","",NA,"","f","yes","815",NA,"friend_Positive_morality","phase_006_subj_7"
3191,312,"Female","SRET","EW_formal","self","Positive","morality","诚信","",NA,"","f","yes","1010",NA,"self_Positive_morality","phase_006_subj_7"
3192,312,"Female","SRET","EW_formal","self","Negative","morality","不良","",NA,"","j","no","736",NA,"self_Negative_morality","phase_006_subj_7"
3193,312,"Female","SRET","EW_formal","self","Negative","morality","无耻","",NA,"","j","no","848",NA,"self_Negative_morality","phase_006_subj_7"
3194,312,"Female","SRET","EW_formal","friend","Positive","ability","精干","",NA,"","f","yes","945",NA,"friend_Positive_ability","phase_006_subj_7"
3195,312,"Female","SRET","EW_formal","friend","Negative","ability","愚钝","",NA,"","j","no","1045",NA,"friend_Negative_ability","phase_006_subj_7"
3196,312,"Female","SRET","EW_formal","self","Negative","ability","无知","",NA,"","null","","null",NA,"self_Negative_ability","phase_006_subj_7"
3197,312,"Female","SRET","EW_formal","friend","Negative","ability","逞能","",NA,"","j","no","1034",NA,"friend_Negative_ability","phase_006_subj_7"
3198,312,"Female","SRET","EW_formal","self","Positive","morality","慷慨","",NA,"","f","yes","621",NA,"self_Positive_morality","phase_006_subj_7"
3199,312,"Female","SRET","EW_formal","self","Negative","morality","奸诈","",NA,"","j","no","632",NA,"self_Negative_morality","phase_006_subj_7"
3200,312,"Female","SRET","EW_formal","friend","Positive","morality","忠勇","",NA,"","f","yes","1320",NA,"friend_Positive_morality","phase_006_subj_7"
