Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q2_item4,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,Env_Q11,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,节点id,节点名称,1、您是否参加过类似的实验？词汇评估？图形匹配？问卷调查？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,3、距离您上次参加此类测试的时间间隔为：,4、您在进行实验的过程中，实验是否正常进行？,5、您在按键行为实验的全程，是否全屏进行？,6、请你描述在什么时候退出了全屏？,7、请您描述一下具体什么问题，以及发生问题的实验阶段？,8、您在进行测试的过程中，是否受到干扰？,9、请您描述一下具体受到什么干扰，以及干扰发生的时间点？,10、对此测试的建议和意见,11、您认为该实验的目的是什么？,
1,	672081135265644544,	803709909547094018,	刘道衡,	2024-01-27 20:43:50,1小时7分36秒,WEB,直接访问,110.180.53.119,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,-888,类似的问卷调查,-888,D.三个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,测试现代人的记忆力	,
2,	801783599631310849,	803749847793541122,	肆柒,	2024-01-27 23:11:04,56分8秒,WEB,直接访问,110.187.139.120,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,词汇评估（评估—再认）,图形匹配（图形—人称词标签）,类似的问卷调查,-888,A.一周内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,暂时没有捏（上述几个问题提到的相似实验，就是指本研究的day1，应该不会有什么影响吧）	,评估人对自己和朋友的看法，利己性或者利他性？	,
3,	718592959586500608,	803988636893974530,	醍醐,	2024-01-28 15:14:36,1小时10分48秒,WEB,直接访问,60.217.78.136,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,探究人的记忆力	,
4,	802899041120821250,	804090654421684225,	用户44330,	2024-01-28 21:45:57,56分46秒,WEB,直接访问,114.243.143.89,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,词汇评估（评估—再认）,图形匹配（图形—人称词标签）,-888,-888,A.一周内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,我觉得可以适当拆分任务，或者是每个任务完成之前的那个试任务可以是正常一个小实验的一半	,探索对自我的认知，和反应能力	,
5,	672909992034041856,	804094106455511041,	郭咯,	2024-01-28 22:14:30,1小时11分36秒,WEB,直接访问,222.219.128.253,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,测试人对朋友的评价与记忆的关系	,
6,	790000811211104258,	804196566771699714,	用户42088,	2024-01-29 04:56:44,1小时6分42秒,WEB,直接访问,42.243.9.172,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,E.半年内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,测试记忆力和反应力	,
7,	789952361161433089,	804300259043053569,	照旧,	2024-01-29 11:58:28,1小时16分24秒,WEB,直接访问,182.150.25.201,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,词汇评估（评估—再认）,图形匹配（图形—人称词标签）,-888,-888,F.一年内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,专注力测试	,
8,	718982212988436480,	804336292774158337,	26,	2024-01-29 14:21:41,1小时16分25秒,WEB,直接访问,211.142.17.195,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,题目好多，而且最后一页设置感觉没有必要	,测试认知机制和注意力	,
9,	598901822953881600,	804343112217661441,	wuyu,	2024-01-29 14:50:39,1小时18分18秒,WEB,直接访问,36.134.81.67,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,对人记忆力的研究	,
10,	735455183198490626,	804346882666143746,	用户31026,	2024-01-29 15:00:35,1小时13分15秒,WEB,直接访问,183.251.201.109,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,图形匹配（图形—人称词标签）,类似的问卷调查,-888,E.半年内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,考验人的记忆力和判断速度	,
11,	673239924056522752,	804349352343642114,	谙雎,	2024-01-29 15:05:37,1小时8分28秒,WEB,直接访问,223.78.156.85,	803643023023149058,测试环境,是,是,是,A.我没有受到任何干扰,是,	803643023371276291,问题反馈,是,-888,-888,类似的问卷调查,-888,F.一年内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,我个人觉得其中词汇记忆测试按键的部分有点难，可不可以把所有的词分成几个小部分，然后进行小部分的记忆+选择按键，因为一下子的词太多了我这种短时记忆不好的人真的觉得蛮难的	,测试记忆和反应能力吧	,
