,Num,UserId,Subject.IDs,Subject.Name,Time,Duration,Source,Source.Details,IP,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q2_item4,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,NodeId.1,Node.1,Env_Q1.1,Env_Q2,Env_Q3.1,Env_Q4.1,Env_Q5.1,X
1,12,"	718762010250051584","	793827067161616385","	粥弟","	2023-12-31 14:22:13",1小时16分52秒,WEB,直接访问,112.97.84.117,"	793799421371490307",问题反馈,否,-888,-888,-888,从无,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,"没有	","增加信心	","	793799422176796674",测试环境-1,是,是,是,是,是,NA
2,1,"	598897916660154368","	793071618745438209","	蹦下卡啦卡","	2023-12-29 12:07:29",1小时4分,WEB,直接访问,119.188.112.218,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,"无	","观察人的判断力	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
3,2,"	598908778728914944","	793096618588119041","	清晨露水","	2023-12-29 14:00:51",1小时18分2秒,WEB,直接访问,36.138.235.64,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,B.测试出现问题（例如报错、闪退、刺激显示不全）,是,"最后的问卷有一道题不需要按键但是我不小心按了，然后再点也取消不了按键，不是故意点错的不好意思，其他全过程都没有问题	",A.我没有受到任何干扰,-999,"无	","目的是想了解人对自己的看法程度	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
4,3,"	718769387863015424","	793102922715111426","	海海","	2023-12-29 14:05:58",58分6秒,WEB,直接访问,112.97.80.119,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,"没有	","让自己自信	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
5,4,"	745687953166307329","	793110329553985537","	沐风风","	2023-12-29 14:52:43",1小时15分24秒,WEB,直接访问,218.28.159.170,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,"调查反应能力	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
6,5,"	732625560492314625","	793113006895669250","	樱花味","	2023-12-29 14:34:54",46分58秒,WEB,直接访问,182.125.99.204,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,"我觉得目的是看人们的反应能力，还有就是测试有没有耐心	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
7,6,"	767404514553892865","	793115328652775426","	用户38058","	2023-12-29 15:09:58",1小时50秒,WEB,直接访问,183.219.49.79,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,"在实验过程中是否能专注，不受干扰	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
8,7,"	602287984867278848","	793122129028845570","	相思","	2023-12-29 15:35:31",1小时11分19秒,WEB,直接访问,139.214.193.42,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,"没有	","实验对自己朋友的评价认知	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
9,8,"	738059457485082626","	793155722123939841","	呜呼哉","	2023-12-29 17:43:44",1小时6分3秒,WEB,直接访问,61.161.6.239,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,"无	","研究人在辨别朋友之间关系有什么不同	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
10,9,"	718768648436580352","	793203649126998018","	扶南","	2023-12-29 20:35:42",47分35秒,WEB,直接访问,183.47.127.23,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,"目的是测试反应能力，还有就是测试专注力	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
11,10,"	789938022656385026","	793205306598498306","	用户42041","	2023-12-29 21:03:45",1小时8分55秒,WEB,直接访问,223.104.145.15,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,B.测试出现问题（例如报错、闪退、刺激显示不全）,是,"在图形匹配任务介绍页无法显示“继续”按钮，退出全屏后调试了网页显示百分比才正常	",A.我没有受到任何干扰,-999,-999,"检测人在短时间内对数据的处理能力	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
12,11,"	781469725959131138","	793209187902689281","	用户40498","	2023-12-29 21:26:24",1小时16分17秒,WEB,直接访问,39.144.177.226,"	792860368681705475",问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,"暂无	","测试被试者对于相关程度不同的词语、图片的反应速度。	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
14,13,"	789416392486293505","	793225143701999618","	用户41864","	2023-12-29 22:12:11",58分39秒,WEB,直接访问,124.126.98.185,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,"研究人性格对人认知的影响	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
15,14,"	753301347197259777","	793229941667008513","	用户33480","	2023-12-29 22:38:01",1小时5分25秒,WEB,直接访问,117.132.58.81,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,"实验非常的有意思，有一个消消的建议 判断图形的时间能不能稍微加长一点点，眼睛真的有点吃不消	","判断人的反应能力及认识自己是怎么样的一个人	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
16,15,"	756877432623206401","	793231923458871297","	哈哈嗝","	2023-12-29 22:44:30",1小时4分2秒,WEB,直接访问,125.43.76.60,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,"检测特定环境下自己的反应能力以及对自己的评估	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
17,16,"	786940746056998913","	793242214502375425","	用户41355","	2023-12-29 23:17:01",55分39秒,WEB,直接访问,117.61.108.70,"	792860368681705475",问题反馈,是,-888,图形匹配（图形—文字标签）,-888,-888,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,"其实我觉得还挺有意思的，就是有点累	","检测不同人的大脑对图像和文字匹配程度?同时还有潜意识里对自己的消极积极的比率?哈哈	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
18,17,"	787033502335111170","	793266189651677186","	用户41397","	2023-12-30 00:46:09",49分31秒,WEB,直接访问,223.104.65.77,"	792860368681705475",问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,"无	","人们对图形的敏感性以及反应能力是否对自身性格有影响	","	792860369482817539",测试环境-1,是,是,是,是,是,NA
