"","subj_idx","ParticipantID","Sex","task_id","screen_id","person","valence","domain","word","math","correct_response","identity","response","responses","rt","correct","friend_name","con","ID"
"1",718982212988436480,322,"Female","SRET_EW","EW_instructions","","","","","","","","0","","22251","","王","__","phase_015_subj_18"
"2",718982212988436480,322,"Female","SRET_EW","EW_practice","self","Positive","ability","严谨","","","","null","","null","","王","self_Positive_ability","phase_015_subj_18"
"3",718982212988436480,322,"Female","SRET_EW","EW_practice","friend","Positive","morality","忠实","","","","f","yes","1209","","王","friend_Positive_morality","phase_015_subj_18"
"4",718982212988436480,322,"Female","SRET_EW","EW_practice","friend","Negative","morality","徇私","","","","j","no","1104","","王","friend_Negative_morality","phase_015_subj_18"
"5",718982212988436480,322,"Female","SRET_EW","EW_practice","self","Negative","ability","刻板","","","","j","no","972","","王","self_Negative_ability","phase_015_subj_18"
"6",718982212988436480,322,"Female","SRET_EW","prac_instructions","","","","","","","","0","","6700","","王","__","phase_015_subj_18"
"7",718982212988436480,322,"Female","SRET","EW_formal","friend","Negative","ability","迷糊","","","","j","no","825","","王","friend_Negative_ability","phase_015_subj_18"
"8",718982212988436480,322,"Female","SRET","EW_formal","self","Positive","morality","坚贞","","","","f","yes","762","","王","self_Positive_morality","phase_015_subj_18"
"9",718982212988436480,322,"Female","SRET","EW_formal","friend","Positive","ability","务实","","","","f","yes","1056","","王","friend_Positive_ability","phase_015_subj_18"
"10",718982212988436480,322,"Female","SRET","EW_formal","self","Negative","morality","说谎","","","","j","no","768","","王","self_Negative_morality","phase_015_subj_18"
"11",718982212988436480,322,"Female","SRET","EW_formal","self","Negative","morality","狡狯","","","","j","no","766","","王","self_Negative_morality","phase_015_subj_18"
"12",718982212988436480,322,"Female","SRET","EW_formal","friend","Negative","morality","拜金","","","","j","no","746","","王","friend_Negative_morality","phase_015_subj_18"
"13",718982212988436480,322,"Female","SRET","EW_formal","self","Negative","ability","新手","","","","f","yes","1197","","王","self_Negative_ability","phase_015_subj_18"
"14",718982212988436480,322,"Female","SRET","EW_formal","self","Positive","ability","坚持","","","","f","yes","701","","王","self_Positive_ability","phase_015_subj_18"
