Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,Env_Q11,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您是否参加过类似的实验？词汇评估？图形匹配？问卷调查？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,3、距离您上次参加此类测试的时间间隔为：,4、您在进行实验的过程中，实验是否正常进行？,5、您在按键行为实验的全程，是否全屏进行？,6、请你描述在什么时候退出了全屏？,7、请您描述一下具体什么问题，以及发生问题的实验阶段？,8、您在进行实验的过程中，是否受到干扰？,9、请您描述一下具体受到什么干扰，以及干扰发生的时间点？,10、对此实验的建议和意见,11、您认为该实验的目的是什么？,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	557541487416442880,	777464814502154241,	meimei_o,	2023-11-16 11:00:47,1小时33分11秒,WEB,直接访问,27.190.99.39,	774802680244740098,问题反馈,否,-888,-888,类似的问卷调查,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,第二题没有参加过，还必须要选择	,研究人的思维能力	,	774802680999714819,测试环境-1,是,是,是,是,是,
2,	598932304420667392,	777471071044640770,	哈哈哈55223,	2023-11-16 10:51:58,59分30秒,WEB,直接访问,36.134.127.165,	774802680244740098,问题反馈,否,-888,-888,类似的问卷调查,C.一个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,不知道	,	774802680999714819,测试环境-1,是,是,是,是,是,
3,	730010828753080322,	777484725882331138,	岸西,	2023-11-16 12:01:09,1小时14分17秒,WEB,直接访问,58.221.59.68,	774802680244740098,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,C.一个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,记忆力吧	,	774802680999714819,测试环境-1,是,是,是,是,是,
4,	590502391271391232,	777536494264127490,	落花殇,	2023-11-16 15:36:23,1小时23分57秒,WEB,直接访问,116.181.10.215,	774802680244740098,问题反馈,否,-888,-888,类似的问卷调查,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,此实验时间过长，过程过于枯燥，希望改进一些。	,了解人们对自己的了解程度。	,	774802680999714819,测试环境-1,是,是,是,是,是,
5,	634787525419859968,	777552988125405186,	苦gua,	2023-11-16 16:36:03,1小时18分4秒,WEB,直接访问,219.151.28.153,	774802680244740098,问题反馈,否,-888,-888,类似的问卷调查,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,图片有点闪快了	,自我人际关系	,	774802680999714819,测试环境-1,是,是,是,是,是,
6,	729745091731918850,	777565431727792130,	累萝,	2023-11-16 17:20:31,1小时13分6秒,WEB,直接访问,36.137.159.85,	774802680244740098,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,B.半个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没有	,考验记忆力	,	774802680999714819,测试环境-1,是,是,是,是,是,
7,	734083981330616322,	777570303537717249,	kingsz,	2023-11-16 18:11:29,1小时44分42秒,WEB,直接访问,36.148.138.221,	774802680244740098,问题反馈,否,-888,-888,类似的问卷调查,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,建议中途有几分钟强制休息时间，同时可以加入轻音乐，让大脑暂时放松下。	,测试参与者大脑记忆与判断反应能力，同时根据描述情景通过第一心理反应回答问题。	,	774802680999714819,测试环境-1,是,是,是,是,是,
8,	768419588089319425,	777601184457433089,	涵熙,	2023-11-16 19:41:21,1小时11分52秒,WEB,直接访问,124.236.97.171,	774802680244740098,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,B.半个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,专注力	,	774802680999714819,测试环境-1,是,是,是,是,是,
9,	598907506583928832,	777601899443785729,	清尘,	2023-11-16 19:26:30,54分9秒,WEB,直接访问,221.192.179.75,	774802680244740098,问题反馈,否,-888,-888,类似的问卷调查,D.三个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,无	,	774802680999714819,测试环境-1,是,是,是,是,是,
