"","PA1","PA2","PA3","PA4"
"ability_IAT",-0.0100021887013255,-0.0420599616150939,0.00297942028474511,0.612258308682758
"moral_IAT",-0.0317766247883627,-0.0380160042000281,-0.0202359647236912,0.581704457767853
"ability_ALT_rt_val",-0.0592911393430939,0.355605624106159,-0.0168495141983552,-0.018836394210581
"moral_ALT_rt_val",0.402875845389948,-0.0501395127113772,-0.0199141794571666,-0.0656974662396307
"ability_ALT_rt_ref",-0.0320684251059637,0.284149916336468,0.0175663175774841,0.0130243594209636
"moral_ALT_rt_ref",0.232442558040832,-0.00353958512064648,0.0191010687206137,-0.00275406468878356
"ability_SRET_EW",-0.0182971206516715,0.00312792671438702,0.651007590049243,0.0942388758154495
"moral_SRET_EW",-0.00421295499778592,-0.0337504622432824,0.462149270309435,-0.0971441429289939
"ability_ALT_d_val",-0.0168605996356763,0.286221278663021,-0.057816465721774,0.0109248777963573
"moral_ALT_d_val",0.207164250744813,-0.0547766498251835,-0.00757313517327956,0.0151659517259148
"ability_ALT_d_ref",0.00878021774618157,0.316520454144913,-0.00346462105113943,-0.101408694073199
"moral_ALT_d_ref",0.325401785917144,0.0229571247915729,-0.0290309930010339,0.0205352787570644
