Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	756877432623206401,	797774271308107778,	哈哈嗝,	2024-01-11 10:45:00,14分52秒,WEB,直接访问,222.141.54.22,	797771977577467909,测试环境-1,是,是,是,是,是,
2,	753301347197259777,	797777155013742594,	用户33480,	2024-01-11 10:59:30,17分54秒,WEB,直接访问,222.94.197.135,	797771977577467909,测试环境-1,是,是,是,是,是,
3,	602287984867278848,	797779095093252098,	相思,	2024-01-11 10:58:17,8分59秒,WEB,直接访问,139.214.193.42,	797771977577467909,测试环境-1,是,是,是,是,是,
4,	768791430436229121,	797779321531015169,	陈秋水,	2024-01-11 11:01:29,11分16秒,WEB,直接访问,110.89.201.251,	797771977577467909,测试环境-1,是,是,是,是,是,
5,	598908778728914944,	797791276723478529,	清晨露水,	2024-01-11 11:47:27,9分44秒,WEB,直接访问,36.138.235.64,	797771977577467909,测试环境-1,是,是,是,是,是,
6,	738059457485082626,	797807918044028930,	呜呼哉,	2024-01-11 12:56:33,12分42秒,WEB,直接访问,61.161.6.239,	797771977577467909,测试环境-1,是,是,是,是,是,
7,	789416392486293505,	797811419717570561,	用户41864,	2024-01-11 13:12:06,14分20秒,WEB,直接访问,112.40.104.245,	797771977577467909,测试环境-1,是,是,是,是,是,
8,	767404514553892865,	797841010502930434,	用户38058,	2024-01-11 15:08:00,12分40秒,WEB,直接访问,183.219.49.79,	797771977577467909,测试环境-1,是,是,是,是,是,
9,	718768648436580352,	797845407991472129,	扶南,	2024-01-11 15:24:22,11分34秒,WEB,直接访问,183.56.243.50,	797771977577467909,测试环境-1,是,是,是,是,是,
10,	732625560492314625,	797848710452350977,	樱花味,	2024-01-11 15:34:33,8分38秒,WEB,直接访问,182.123.65.223,	797771977577467909,测试环境-1,是,是,是,是,是,
11,	767677115188645890,	797856858722410497,	王雨38109,	2024-01-11 16:07:11,8分52秒,WEB,直接访问,58.48.49.134,	797771977577467909,测试环境-1,是,是,是,是,是,
12,	718762010250051584,	797870359440527361,	粥弟,	2024-01-11 16:57:47,5分50秒,WEB,直接访问,112.97.85.112,	797771977577467909,测试环境-1,是,是,是,是,是,
13,	786940746056998913,	797871038821179393,	用户41355,	2024-01-11 17:08:02,13分22秒,WEB,直接访问,117.61.109.100,	797771977577467909,测试环境-1,是,是,是,是,是,
14,	789938022656385026,	797934455233847297,	用户42041,	2024-01-11 21:19:06,12分26秒,WEB,直接访问,112.1.219.82,	797771977577467909,测试环境-1,是,是,是,是,是,
15,	781469725959131138,	797938248507985922,	用户40498,	2024-01-11 21:35:00,13分16秒,WEB,直接访问,223.104.109.106,	797771977577467909,测试环境-1,是,是,是,是,是,
16,	787033502335111170,	797946189592010754,	用户41397,	2024-01-11 22:03:27,10分11秒,WEB,直接访问,223.104.65.177,	797771977577467909,测试环境-1,是,是,是,是,是,
17,	787084202704248834,	798150246302621697,	用户41428,	2024-01-12 11:37:58,13分50秒,WEB,直接访问,36.59.16.241,	797771977577467909,测试环境-1,是,是,是,是,是,
18,	653013422224441344,	798342622971432961,	王2404,	2024-01-13 00:29:41,20分41秒,WEB,直接访问,125.43.76.125,	797771977577467909,测试环境-1,是,是,是,是,是,
19,	776085809274294274,	798637234172727298,	用户39746,	2024-01-13 19:48:43,9分28秒,WEB,直接访问,120.245.100.251,	797771977577467909,测试环境-1,是,是,是,是,是,
