"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","version_attrib","version_target","correct","IAT","screen_id","task_id","RT","condition","word","varname","summary","version_attrib2","version_target2","time_stamp","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","identity","Image","question_order"
"1272","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己的</p>","i","categorize-html","10","164287","0.0-6.0-0.0-2.0-1.0","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","1272","self","自己的","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","11","164539","0.0-6.0-0.0-2.0-0.1","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"900","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人的</p>","e","categorize-html","12","165442","0.0-6.0-0.0-2.0-1.1","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","900","other","别人的","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","13","165693","0.0-6.0-0.0-2.0-0.2","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"503","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己</p>","i","categorize-html","14","166201","0.0-6.0-0.0-2.0-1.2","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","503","self","自己","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","15","166452","0.0-6.0-0.0-2.0-0.3","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"806","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他的</p>","e","categorize-html","16","167261","0.0-6.0-0.0-2.0-1.3","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","806","other","他的","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","17","167514","0.0-6.0-0.0-2.0-0.4","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"571","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人</p>","e","categorize-html","18","168091","0.0-6.0-0.0-2.0-1.4","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","571","other","他人","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","19","168342","0.0-6.0-0.0-2.0-0.5","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"538","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我的</p>","i","categorize-html","20","168884","0.0-6.0-0.0-2.0-1.5","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","538","self","我的","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","21","169136","0.0-6.0-0.0-2.0-0.6","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"512","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人的</p>","i","categorize-html","22","169652","0.0-6.0-0.0-2.0-1.6","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","512","self","本人的","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","23","169903","0.0-6.0-0.0-2.0-0.7","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"599","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我</p>","i","categorize-html","24","170505","0.0-6.0-0.0-2.0-1.7","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","599","self","我","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","25","170756","0.0-6.0-0.0-2.0-0.8","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"486","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","e","categorize-html","26","171245","0.0-6.0-0.0-2.0-1.8","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","486","other","别人","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","27","171497","0.0-6.0-0.0-2.0-0.9","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"558","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人的</p>","e","categorize-html","28","172061","0.0-6.0-0.0-2.0-1.9","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","558","other","他人的","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","29","172312","0.0-6.0-0.0-2.0-0.10","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"418","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","e","categorize-html","30","172736","0.0-6.0-0.0-2.0-1.10","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","418","other","他","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","31","172987","0.0-6.0-0.0-2.0-0.11","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"494","<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","i","categorize-html","32","173485","0.0-6.0-0.0-2.0-1.11","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","1","1","ability","494","self","本人","","","","","","","","","","","","","","",""
"20074","
    <div class=""tag-bottom""><p>
    —— 任务2：对“消极”词和“积极”词分类 ——<p/>   
    <span style=""color:#78DCE8""><b>注意上方，类别标签和需要分类的词语都已经改变</b></span><p/>
    <span style=""color:#FFD866""><b>请根据上方标签的提示，尽可能正确并且快速地做出按键反应</b></span><p/>
    当按键错误时屏幕中会出现<span style=""color:red""> X </span>，需要按另一个键纠正才能继续<br/><p/>
    请把双手食指分别放在键盘的“E”键和“I”键上<p/>
    按<空格键>开始
    </p></div>"," ","html-keyboard-response","33","193559","0.0-6.0-0.0-3.0","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","34","193812","0.0-6.0-0.0-4.0-0.0","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673","<p style=""color:white; font-size: 35px;"">全能</p>","i","categorize-html","35","194490","0.0-6.0-0.0-4.0-1.0","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","2","2","ability","673","positive","全能","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","36","194742","0.0-6.0-0.0-4.0-0.1","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"594","<p style=""color:white; font-size: 35px;"">蠢笨</p>","e","categorize-html","37","195339","0.0-6.0-0.0-4.0-1.1","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","2","2","ability","594","negative","蠢笨","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","38","195592","0.0-6.0-0.0-4.0-0.2","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"493","<p style=""color:white; font-size: 35px;"">愚钝</p>","e","categorize-html","39","196088","0.0-6.0-0.0-4.0-1.2","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","2","2","ability","493","negative","愚钝","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","40","196340","0.0-6.0-0.0-4.0-0.3","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"410","<p style=""color:white; font-size: 35px;"">废物</p>","e","categorize-html","41","196753","0.0-6.0-0.0-4.0-1.3","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","2","2","ability","410","negative","废物","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","42","197004","0.0-6.0-0.0-4.0-0.4","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"491","<p style=""color:white; font-size: 35px;"">全才</p>","i","categorize-html","43","197498","0.0-6.0-0.0-4.0-1.4","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","2","2","ability","491","positive","全才","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","44","197750","0.0-6.0-0.0-4.0-0.5","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"429","<p style=""color:white; font-size: 35px;"">天才</p>","i","categorize-html","45","198183","0.0-6.0-0.0-4.0-1.5","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","2","2","ability","429","positive","天才","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","46","198434","0.0-6.0-0.0-4.0-0.6","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"481","<p style=""color:white; font-size: 35px;"">无能</p>","e","categorize-html","47","198919","0.0-6.0-0.0-4.0-1.6","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","2","2","ability","481","negative","无能","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","48","199171","0.0-6.0-0.0-4.0-0.7","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"623","<p style=""color:white; font-size: 35px;"">精干</p>","i","categorize-html","49","199798","0.0-6.0-0.0-4.0-1.7","3","3","3","4","2","3","2","2","2","2","4","2","1","3","2","2","2","2","4","4","4","5","4","4","5","4","4","4","4","1","0","1","1","0","0","1","1","1","1","-1","0","1","0","1","3","4","5","4","5","4","4","4","2","2","735606541780258817","谢","","","","","","","","","","","","","","","","","","","true","2","2","ability","623","positive","精干","","","","","","","","","","","","","","",""
