"","ParticipantID","Sex","task_id","screen_id","person","valence","domain","word","math","correct_response","identity","response","responses","rt","correct","con","ID"
"1",574,"Female","SRET_EW","EW_instructions","","","","","","","","0","","20546","","__","phase_007_subj_17"
"2",574,"Female","SRET_EW","EW_practice","self","Positive","ability","严谨","","","","f","yes","927","","self_Positive_ability","phase_007_subj_17"
"3",574,"Female","SRET_EW","EW_practice","friend","Negative","morality","徇私","","","","j","no","1054","","friend_Negative_morality","phase_007_subj_17"
"4",574,"Female","SRET_EW","EW_practice","self","Negative","ability","刻板","","","","j","no","1363","","self_Negative_ability","phase_007_subj_17"
"5",574,"Female","SRET_EW","EW_practice","friend","Positive","morality","忠实","","","","f","yes","1018","","friend_Positive_morality","phase_007_subj_17"
"6",574,"Female","SRET_EW","prac_instructions","","","","","","","","0","","712647","","__","phase_007_subj_17"
"7",574,"Female","SRET","EW_formal","friend","Negative","ability","迷糊","","","","j","no","1333","","friend_Negative_ability","phase_007_subj_17"
"8",574,"Female","SRET","EW_formal","self","Positive","morality","坚贞","","","","f","yes","1328","","self_Positive_morality","phase_007_subj_17"
"9",574,"Female","SRET","EW_formal","self","Negative","morality","说谎","","","","null","","null","","self_Negative_morality","phase_007_subj_17"
"10",574,"Female","SRET","EW_formal","friend","Positive","ability","务实","","","","f","yes","1576","","friend_Positive_ability","phase_007_subj_17"
"11",574,"Female","SRET","EW_formal","friend","Positive","morality","好心","","","","f","yes","1211","","friend_Positive_morality","phase_007_subj_17"
"12",574,"Female","SRET","EW_formal","friend","Negative","morality","不良","","","","j","no","1328","","friend_Negative_morality","phase_007_subj_17"
"13",574,"Female","SRET","EW_formal","friend","Negative","morality","无耻","","","","j","no","1176","","friend_Negative_morality","phase_007_subj_17"
"14",574,"Female","SRET","EW_formal","self","Positive","morality","孝顺","","","","f","yes","1199","","self_Positive_morality","phase_007_subj_17"
"15",574,"Female","SRET","EW_formal","friend","Negative","ability","无助","","","","j","no","1474","","friend_Negative_ability","phase_007_subj_17"
"16",574,"Female","SRET","EW_formal","friend","Positive","morality","礼貌","","","","f","yes","1478","","friend_Positive_morality","phase_007_subj_17"
"17",574,"Female","SRET","EW_formal","self","Negative","morality","诡诈","","","","j","no","1380","","self_Negative_morality","phase_007_subj_17"
"18",574,"Female","SRET","EW_formal","friend","Positive","ability","果断","","","","f","yes","1359","","friend_Positive_ability","phase_007_subj_17"
"19",574,"Female","SRET","EW_formal","self","Positive","ability","勤奋","","","","f","yes","1984","","self_Positive_ability","phase_007_subj_17"
"20",574,"Female","SRET","EW_formal","self","Negative","ability","庸碌","","","","j","no","822","","self_Negative_ability","phase_007_subj_17"
"21",574,"Female","SRET","EW_formal","friend","Negative","morality","腐败","","","","j","no","1408","","friend_Negative_morality","phase_007_subj_17"
"22",574,"Female","SRET","EW_formal","self","Positive","ability","自律","","","","null","","null","","self_Positive_ability","phase_007_subj_17"
"23",574,"Female","SRET","EW_formal","self","Positive","ability","独立","","","","f","yes","723","","self_Positive_ability","phase_007_subj_17"
"24",574,"Female","SRET","EW_formal","friend","Negative","ability","逞强","","","","j","no","1113","","friend_Negative_ability","phase_007_subj_17"
"25",574,"Female","SRET","EW_formal","self","Negative","ability","昏庸","","","","j","no","798","","self_Negative_ability","phase_007_subj_17"
"26",574,"Female","SRET","EW_formal","friend","Positive","ability","博识","","","","j","no","1313","","friend_Positive_ability","phase_007_subj_17"
"27",574,"Female","SRET","EW_formal","self","Negative","ability","新手","","","","j","no","1560","","self_Negative_ability","phase_007_subj_17"
"28",574,"Female","SRET","EW_formal","friend","Negative","morality","伪善","","","","j","no","619","","friend_Negative_morality","phase_007_subj_17"
"29",574,"Female","SRET","EW_formal","friend","Negative","ability","浅薄","","","","j","no","1607","","friend_Negative_ability","phase_007_subj_17"
"30",574,"Female","SRET","EW_formal","friend","Positive","morality","无私","","","","f","yes","1404","","friend_Positive_morality","phase_007_subj_17"
"31",574,"Female","SRET","EW_formal","friend","Negative","morality","小人","","","","null","","null","","friend_Negative_morality","phase_007_subj_17"
