"X","ParticipantID","Sex","task_id","screen_id","person","valence","domain","word","math","correct_response","identity","response","responses","rt","correct","con","ID"
1,38,"Female","SRET_EW","EW_instructions","","","","","",NA,"","0","",170131,NA,"__","phase_002_subj_2"
2,38,"Female","SRET_EW","EW_practice","self","Negative","ability","刻板","",NA,"","j","no",4775,NA,"self_Negative_ability","phase_002_subj_2"
3,38,"Female","SRET_EW","EW_practice","friend","Positive","morality","忠实","",NA,"","f","yes",1002,NA,"friend_Positive_morality","phase_002_subj_2"
4,38,"Female","SRET_EW","EW_practice","friend","Negative","morality","徇私","",NA,"","j","no",1513,NA,"friend_Negative_morality","phase_002_subj_2"
5,38,"Female","SRET_EW","EW_practice","self","Positive","ability","严谨","",NA,"","f","yes",921,NA,"self_Positive_ability","phase_002_subj_2"
6,38,"Female","SRET_EW","prac_instructions","","","","","",NA,"","0","",7101,NA,"__","phase_002_subj_2"
7,38,"Female","SRET","EW_formal","self","Positive","morality","坚贞","",NA,"","f","yes",726,NA,"self_Positive_morality","phase_002_subj_2"
8,38,"Female","SRET","EW_formal","friend","Positive","ability","务实","",NA,"","f","yes",609,NA,"friend_Positive_ability","phase_002_subj_2"
9,38,"Female","SRET","EW_formal","self","Negative","morality","说谎","",NA,"","j","no",554,NA,"self_Negative_morality","phase_002_subj_2"
10,38,"Female","SRET","EW_formal","friend","Negative","ability","迷糊","",NA,"","j","no",1099,NA,"friend_Negative_ability","phase_002_subj_2"
11,38,"Female","SRET","EW_formal","self","Negative","morality","失信","",NA,"","f","yes",975,NA,"self_Negative_morality","phase_002_subj_2"
12,38,"Female","SRET","EW_formal","friend","Negative","morality","龌龊","",NA,"","j","no",788,NA,"friend_Negative_morality","phase_002_subj_2"
13,38,"Female","SRET","EW_formal","self","Positive","ability","智慧","",NA,"","j","no",1094,NA,"self_Positive_ability","phase_002_subj_2"
14,38,"Female","SRET","EW_formal","friend","Positive","morality","孝顺","",NA,"","f","yes",1291,NA,"friend_Positive_morality","phase_002_subj_2"
15,38,"Female","SRET","EW_formal","self","Negative","morality","虚伪","",NA,"","f","yes",1156,NA,"self_Negative_morality","phase_002_subj_2"
16,38,"Female","SRET","EW_formal","friend","Negative","ability","逞能","",NA,"","j","no",1123,NA,"friend_Negative_ability","phase_002_subj_2"
17,38,"Female","SRET","EW_formal","self","Positive","ability","勤奋","",NA,"","j","no",866,NA,"self_Positive_ability","phase_002_subj_2"
